               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.026355,            0.019809,                   0,             0.94861,             0.86957,             0.85876,             0.60742,            0.025427,            0.012765,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.031499,            0.024045,                   0,             0.94888,             0.86957,             0.85804,             0.65084,            0.023162,            0.012534,                   0,            0.004753,            0.004753,            0.004753
                 108,             0.03217,            0.021437,                   0,             0.94888,             0.86957,             0.85804,             0.65084,            0.023162,            0.012534,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,             0.03202,            0.022462,                   0,             0.94355,             0.86957,             0.85365,             0.67843,            0.022354,            0.012999,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.030026,            0.021735,                   0,             0.95217,             0.86563,             0.85842,             0.59407,            0.024336,             0.01307,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.030093,            0.019343,                   0,             0.94989,             0.82433,             0.85449,             0.66472,            0.024341,            0.013105,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.026276,            0.024843,                   0,             0.94989,             0.82433,             0.85449,             0.66472,            0.024341,            0.013105,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023713,            0.019264,                   0,             0.94377,             0.78261,             0.85223,             0.66669,            0.022474,            0.013419,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.025609,             0.02269,                   0,             0.94714,             0.77922,             0.83943,             0.67348,            0.022968,             0.01397,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.030041,            0.021377,                   0,             0.93868,             0.82609,             0.82843,             0.59534,            0.023942,            0.014331,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.028943,            0.024354,                   0,             0.93868,             0.82609,             0.82843,             0.59534,            0.023942,            0.014331,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.030238,            0.019146,                   0,              0.9492,             0.81294,             0.82471,             0.65687,            0.022774,            0.014828,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.023595,            0.019248,                   0,             0.92772,             0.82609,              0.8227,             0.60986,            0.023751,            0.014608,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.027779,             0.02119,                   0,              0.9464,             0.82609,              0.8269,             0.61172,            0.025623,            0.014791,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.027708,            0.020621,                   0,              0.9464,             0.82609,              0.8269,             0.61172,            0.025623,            0.014791,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.027439,            0.025719,                   0,             0.93729,             0.82609,             0.83373,             0.65672,            0.023521,            0.014253,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.026695,            0.019883,                   0,             0.94985,             0.82353,             0.83074,             0.60538,            0.024301,            0.014057,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.025415,            0.021578,                   0,             0.94978,             0.82244,              0.8517,             0.63923,            0.022144,            0.013496,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.022766,            0.015672,                   0,             0.94978,             0.82244,              0.8517,             0.63923,            0.022144,            0.013496,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.023492,            0.021669,                   0,             0.94993,             0.82492,             0.85504,             0.67338,            0.021355,            0.013234,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.024023,            0.020721,                   0,             0.95196,             0.86181,             0.86339,             0.72094,            0.022012,            0.013105,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.026733,            0.019837,                   0,             0.90776,             0.85619,             0.86392,              0.6223,            0.024345,             0.01299,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.026527,            0.020804,                   0,             0.90776,             0.85619,             0.86392,              0.6223,            0.024345,             0.01299,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.021986,            0.020947,                   0,             0.87782,             0.86957,             0.85949,             0.69023,            0.021052,            0.012914,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.024114,            0.021905,                   0,             0.94908,             0.81086,             0.85815,             0.72637,            0.021102,            0.012983,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022325,            0.017606,                   0,              0.9433,             0.82609,             0.85727,             0.65984,            0.023235,            0.012904,                   0,            0.003565,            0.003565,            0.003565
